mol_idx,smiles,reward,EGFR,Stab,Perm,EGFR_sim,sampling_group,2ITY_WT_cnn_aff,2ITY_WT_cnn_aff_std,2ITY_WT_cnn_pose,4WKQ_WT_cnn_aff,4WKQ_WT_cnn_aff_std,4WKQ_WT_cnn_pose,4HJO_inactive_cnn_aff,4HJO_inactive_cnn_aff_std,4HJO_inactive_cnn_pose,4I23_WT_cnn_aff,4I23_WT_cnn_aff_std,4I23_WT_cnn_pose,4G5J_T790M_cnn_aff,4G5J_T790M_cnn_aff_std,4G5J_T790M_cnn_pose,4ZAU_T790M_cnn_aff,4ZAU_T790M_cnn_aff_std,4ZAU_T790M_cnn_pose,5D41_allosteric_cnn_aff,5D41_allosteric_cnn_aff_std,5D41_allosteric_cnn_pose,T790M_avg_aff,WT_avg_aff,selectivity_T790M_vs_WT,T790M_cross_pdb_diff,WT_cross_pdb_diff,allosteric_aff
0,COc1cc2ncnc(Nc3cccc(C(C)(F)c4cc(F)cc(C(F)(F)F)c4)c3)c2cc1OC,0.9758075954955808,8.314696726770364,71.56320250706248,1.1254149609047397,0.7735849056603774,top50,7.324,0.0,0.5327,7.129,0.0,0.3742,7.641,0.0,0.7972,7.246,0.0,0.6046,6.263,0.0,0.558,7.24,0.0,0.7334,7.524,0.0,0.3331,6.7515,7.335000000000001,-0.5835000000000008,0.9770000000000003,0.19500000000000028,7.524
1,CNCCOCCC(C)(C)c1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1,0.958558044794288,8.032975241511883,72.70875920220492,0.9160817039081852,0.6271186440677966,top50,7.133,0.0,0.6634,7.02,0.0,0.7965,7.425,0.0,0.8271,7.171,0.0,0.717,6.325,0.0,0.6752,6.901,0.0,0.6596,7.552,0.0,0.5159,6.6129999999999995,7.18725,-0.5742500000000001,0.5759999999999996,0.11300000000000043,7.552
2,COc1cc2ncnc(Nc3cccc(C(F)(F)F)c3)c2cc1OC,0.9535558272424872,7.938516015889951,73.79057485526974,1.104663936336194,1.0,top50,6.896,0.0,0.9562,7.106,0.0,0.9849,6.949,0.0,0.935,6.789,0.0,0.9452,5.803,0.0,0.544,6.624,0.0,0.9219,6.901,0.0,0.6333,6.2135,6.9350000000000005,-0.7215000000000007,0.8209999999999997,0.20999999999999996,6.901
3,COc1cc2ncnc(Nc3cccc(C(C)(F)CCC4CC4)c3)c2cc1OC,0.953439930164242,7.930957599188412,78.08323724608475,0.981020598161378,0.6964285714285714,top50,7.108,0.0,0.7502,6.922,0.0,0.6439,7.633,0.0,0.9466,6.915,0.0,0.6652,6.428,0.0,0.7627,7.143,0.0,0.8325,7.314,0.0,0.5032,6.7855,7.1445,-0.359,0.7149999999999999,0.18599999999999994,7.314
4,COc1cc2ncnc(Nc3cccc(C(C)(F)c4cccc(F)c4)c3)c2cc1OC,0.9529152752692124,7.961319985767187,72.19559975964695,1.2729282484296798,0.7755102040816326,top50,7.063,0.0,0.7414,6.923,0.0,0.7698,7.552,0.0,0.8858,7.402,0.0,0.7919,6.536,0.0,0.7902,7.255,0.0,0.9156,7.438,0.0,0.49,6.8955,7.235,-0.33950000000000014,0.7190000000000003,0.13999999999999968,7.438
5,CNCCC(C)(C)c1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1,0.9521502208583134,7.93671638514922,74.13526618838641,0.9016010828095506,0.6851851851851852,top50,6.904,0.0,0.7566,6.999,0.0,0.775,6.982,0.0,0.6688,6.902,0.0,0.7743,6.124,0.0,0.5365,7.005,0.0,0.8658,7.423,0.0,0.5843,6.5645,6.94675,-0.38225,0.8810000000000002,0.09499999999999975,7.423
6,COc1cc2ncnc(Nc3cccc(C(C)(C)Nc4cc(C(F)(F)F)ccn4)c3)c2cc1OC,0.9494288742726408,8.101017247857536,68.41567949622247,0.9693035428164216,0.7636363636363637,top50,7.322,0.0,0.572,7.245,0.0,0.4127,8.046,0.0,0.9039,7.564,0.0,0.8167,6.707,0.0,0.5246,7.411,0.0,0.8275,7.625,0.0,0.3439,7.058999999999999,7.54425,-0.4852500000000006,0.7039999999999997,0.07699999999999996,7.625
7,COc1cc2ncnc(Nc3cccc(C(C)(F)c4cccc(N)n4)c3)c2cc1OC,0.949151403250969,7.92094233431148,75.03982524905204,0.85157372727426,0.6964285714285714,top50,7.334,0.0,0.453,7.61,0.0,0.8708,7.918,0.0,0.9811,7.118,0.0,0.7973,6.692,0.0,0.6894,7.273,0.0,0.8356,7.674,0.0,0.5327,6.9825,7.494999999999999,-0.5124999999999993,0.5809999999999995,0.2760000000000007,7.674
8,COc1cc2ncnc(Nc3cccc(C(O)(CO)c4ccccc4F)c3)c2cc1OC,0.948474013655374,7.893660531406166,78.09273773849216,0.8931890979935163,0.6440677966101694,top50,7.571,0.0,0.8076,6.895,0.0,0.8084,7.299,0.0,0.8519,7.642,0.0,0.9514,6.319,0.0,0.6786,7.332,0.0,0.9396,7.586,0.0,0.6507,6.8255,7.35175,-0.5262500000000001,1.013,0.6760000000000002,7.586
9,COc1cc2ncnc(Nc3cccc(C(C)(F)c4cccc(C(F)(F)F)c4)c3)c2cc1OC,0.9472118171712542,7.911424158976331,71.58556629737917,1.1463993528634615,0.8936170212765957,top50,7.339,0.0,0.7568,7.076,0.0,0.4791,7.346,0.0,0.6901,7.135,0.0,0.7938,6.49,0.0,0.5976,7.121,0.0,0.7077,7.444,0.0,0.3179,6.8055,7.224,-0.41849999999999987,0.6310000000000002,0.2630000000000008,7.444
10,COc1cc2ncnc(Nc3cccc(C(C)(F)CC4CN(C)C4)c3)c2cc1OC,0.9465041892698433,7.955740492452324,71.26097871074256,0.8506376439998886,0.6610169491525424,top50,6.758,0.0,0.7196,6.872,0.0,0.6956,7.482,0.0,0.7917,6.96,0.0,0.7248,6.876,0.0,0.7441,6.912,0.0,0.8833,7.592,0.0,0.6184,6.894,7.018,-0.12399999999999967,0.03599999999999959,0.11399999999999988,7.592
