mol_idx,smiles,reward,EGFR,sampling_group,screen_2ITY_WT_vina_aff,screen_4WKQ_WT_vina_aff,screen_4HJO_inactive_vina_aff,screen_4I23_WT_vina_aff,screen_4G5J_T790M_vina_aff,screen_4ZAU_T790M_vina_aff,screen_5D41_allosteric_vina_aff,refined_2ITY_WT_vina_aff,refined_2ITY_WT_vina_aff_std,refined_4WKQ_WT_vina_aff,refined_4WKQ_WT_vina_aff_std,refined_4HJO_inactive_vina_aff,refined_4HJO_inactive_vina_aff_std,refined_4I23_WT_vina_aff,refined_4I23_WT_vina_aff_std,refined_4G5J_T790M_vina_aff,refined_4G5J_T790M_vina_aff_std,refined_4ZAU_T790M_vina_aff,refined_4ZAU_T790M_vina_aff_std,refined_5D41_allosteric_vina_aff,refined_5D41_allosteric_vina_aff_std,refined_T790M_vina_avg,refined_WT_vina_avg,refined_vina_selectivity,refined_T790M_vina_cross_pdb_diff,refined_WT_vina_cross_pdb_diff,refined_allosteric_vina_aff
147,COc1cc2ncnc(Nc3cccc(C(C)(F)Cc4cc5cccnc5nc4N)c3)c2cc1OC,0.7065679486125689,7.096383857348056,random100,-8.751,-8.333,-10.53,-9.783,-6.804,-9.179,-9.719,-8.811333333333334,0.015923427883328126,-8.327666666666667,0.03118047822311662,-10.526666666666666,0.009428090415820432,-9.723333333333333,0.03596603335865024,-6.796333333333333,0.003858612300929855,-8.741999999999999,0.3238919572944037,-9.713666666666667,0.01111555466702192,-7.769166666666666,-9.347249999999999,-1.5780833333333328,1.945666666666666,0.48366666666666625,-9.713666666666667
179,O=C(Nc1sc2nccnc2c1C(=O)Nc1cccc(C(F)(F)F)c1)c1ccccc1F,0.6750797302640147,5.953633773708685,diverse50,-8.962,-9.013,-9.481,-8.911,-7.459,-9.053,-6.9,-9.082333333333333,0.11936033214133128,-9.005,0.00804155872120984,-9.495666666666667,0.014337208778404416,-8.906999999999998,0.010230672835481989,-7.462,0.004546060565661646,-8.997666666666667,0.030879694874715532,-6.900333333333333,0.006128258770283365,-8.229833333333334,-9.122499999999999,-0.8926666666666652,1.5356666666666676,0.07733333333333192,-6.900333333333333
188,COCC(Cc1n[nH]c2ccccc12)c1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1,0.5725761913721156,7.306562358729653,diverse50,-8.251,-8.666,-9.649,-9.086,-6.504,-9.035,-9.923,-8.271666666666667,0.026960877005188545,-8.689666666666668,0.008498365855987677,-9.847666666666667,0.16809587211535654,-9.154333333333334,0.052130178932702276,-6.488666666666667,0.0634787803565534,-9.014000000000001,0.020992061991778003,-9.916333333333334,0.015584892970081685,-7.751333333333334,-8.990833333333335,-1.2395000000000005,2.525333333333334,0.41800000000000104,-9.916333333333334
186,COc1cc2ncnc(Nc3cccc(C4=CN=NN5C=CC=CC=C4C5)c3)c2cc1OC,0.745695785723461,7.024517201040344,diverse50,-9.179,-9.171,-9.755,-9.224,-7.319,-8.994,-9.641,-9.173333333333334,0.021060758665241944,-9.164,0.013063945294843629,-9.841333333333333,0.012970050972229094,-9.212666666666665,0.002867441755680732,-7.2749999999999995,0.02092844953645604,-8.991,0.005354126134736356,-9.638333333333334,0.009030811456096133,-8.133,-9.347833333333332,-1.214833333333333,1.7160000000000002,0.009333333333334082,-9.638333333333334
83,COc1cc2ncnc(Nc3cccc(Cc4cnccc4N4CCC(O)CC4)c3)c2cc1OC,0.6121709428603319,7.1142471334348505,random100,-8.016,-8.881,-9.629,-8.598,-5.962,-8.881,-9.407,-7.910333333333333,0.22472254497985333,-8.870666666666667,0.05076963221804458,-9.533333333333333,0.1267341925273344,-8.614666666666666,0.028709270666846216,-5.9319999999999995,0.03289376840679706,-8.890666666666666,0.017556258776352012,-10.14,0.029439202887759464,-7.411333333333333,-8.732249999999999,-1.3209166666666654,2.958666666666667,0.9603333333333337,-10.14
99,CCCS(=O)(=O)Nc1cccc(C(C)(F)c2cccc(Nc3ncnc4cc(OC)c(OC)cc34)c2)c1,0.8402663678603359,7.6662359446907615,random100,-8.563,-8.126,-9.422,-8.14,-6.472,-8.721,-8.655,-8.546666666666667,0.017594190960529298,-8.144333333333334,0.05149325737953982,-9.429333333333332,0.01819035153285675,-8.181,0.01232882800593842,-6.458333333333333,0.005185449728701406,-8.412333333333335,0.3778574099077881,-8.634333333333332,0.013021349989749163,-7.435333333333334,-8.575333333333333,-1.1399999999999988,1.9540000000000015,0.402333333333333,-8.634333333333332
142,COc1cc2ncnc(Nc3cccc(C(N)=O)c3)c2cc1OCc1ccccc1,0.5041364557161803,6.384737997367971,random100,-8.66,-8.705,-9.356,-8.334,-6.422,-8.702,-9.146,-8.620666666666667,0.022216110270602028,-8.665999999999999,0.043366653856006236,-9.449333333333334,0.047953681355612496,-8.113000000000001,0.012027745701779172,-6.613666666666667,0.06798692684790385,-8.697666666666667,0.023795424396766296,-9.220666666666666,0.02458093208611557,-7.655666666666667,-8.71225,-1.0565833333333323,2.0839999999999996,0.04533333333333189,-9.220666666666666
25,COc1cc2ncnc(Nc3cccc(C(C)(F)c4cccc(N)c4)c3)c2cc1OC,0.9384638127333118,7.812166102819114,top50,-8.972,-8.234,-9.666,-9.562,-6.31,-8.671,-10.21,-8.988666666666667,0.028581268146967414,-8.187,0.008640987597877018,-9.664333333333333,0.02940899333348409,-9.685,0.07861721609588272,-6.322666666666667,0.006798692684790327,-8.690666666666667,0.01575506973079481,-10.213333333333333,0.02624669291337297,-7.506666666666667,-9.13125,-1.6245833333333328,2.3680000000000003,0.8016666666666676,-10.213333333333333
144,COc1cc2ncnc(Nc3cccc(C(C)(C)OC(=O)Nc4ccccc4)c3)c2cc1OC,0.7120118733278978,6.218939720356258,random100,-8.863,-7.757,-10.56,-8.423,-6.267,-8.669,-9.274,-8.839666666666666,0.009030811456096133,-7.7796666666666665,0.010656244908763764,-10.583333333333334,0.032998316455372295,-8.476,0.031016124838542,-6.2540000000000004,0.24183603260611652,-8.623333333333333,0.013888444437333367,-9.126,0.005099019513592978,-7.438666666666666,-8.919666666666666,-1.4809999999999999,2.3693333333333326,1.0599999999999996,-9.126
194,COc1cc2ncnc(Nc3cccc(C(O)(CO)c4ccccc4-c4ccc(C)c(C)c4)c3)c2cc1OC,0.8962090735389967,7.40225830609225,diverse50,-8.002,-7.777,-9.7,-8.663,-5.627,-8.658,-10.06,-8.644333333333334,0.005436502143433364,-7.7443333333333335,0.020072092289765916,-9.135666666666667,0.7853599316378589,-8.615333333333334,0.02894055209486475,-5.622,0.012355835328567096,-8.658000000000001,0.006377042156570307,-10.116666666666667,0.02054804667656349,-7.140000000000001,-8.534916666666666,-1.3949166666666653,3.0360000000000014,0.9000000000000004,-10.116666666666667
